_id,act_base_height_cm,act_left_hand_state,act_left_wrist_qw,act_left_wrist_qx,act_left_wrist_qy,act_left_wrist_qz,act_left_wrist_x,act_right_wrist_qw,act_right_wrist_qx,act_right_wrist_qy,act_right_wrist_qz,act_right_wrist_x,act_right_wrist_y,act_right_wrist_z,act_left_elbow_qw,act_left_elbow_qx,act_left_elbow_qy,act_left_elbow_qz,act_left_elbow_x,act_left_elbow_y,act_left_elbow_z,act_right_elbow_qw,act_right_elbow_qx,act_right_elbow_qy,act_right_elbow_qz,act_right_elbow_x,act_right_elbow_y,act_right_elbow_z,act_left_shoulder_qw,act_left_shoulder_qx,act_left_shoulder_qy,act_left_shoulder_qz,act_left_shoulder_x,act_left_shoulder_y,act_left_shoulder_z,act_right_shoulder_qw,act_right_shoulder_qx,act_right_shoulder_qy,act_right_shoulder_qz,act_right_shoulder_x,act_right_shoulder_y,act_right_shoulder_z
sample_000000,0.7541172606305074,1,0.9921734546172227,0.0027982436948576737,-0.01693619534790899,0.20565059638955877,0.19023260540525058,0.014432249447723509,-0.00302632163524311,0.0031090933659713074,0.012410435982241386,-0.026223620025005424,0.05100706303870202,0.025454122164208948,0.00535522041058333,0.0030169629316064263,0.015044815099631542,0.001723280315679645,0.03635411021196675,-0.09390883758490709,0.006153364892336377,-0.011295409591823692,0.018311671296993723,-0.012430338045520548,0.006687371156411208,-0.023247789136354103,0.047553515171959874,-0.09713078114429766,0.002202514099465005,-0.00299950740830742,0.00016732212760613762,-0.006965545110845551,-0.03553044824679683,-0.0976245318518449,-0.019459200874413687,-0.006407222890758782,-0.008227557020307304,-0.010732929134792308,0.012960718543950702,-0.055026546250349355,0.04184312851189889,0.04512401791638985
sample_000001,0.7951200813867909,0,0.9937519301272089,0.010399376124579703,0.018498436704221237,0.19611597857871182,0.19240051262049163,-0.007959586608614951,0.013325992542345828,-0.006724800975906349,0.0012573178718550393,-0.047236004933157605,0.07397862790696921,0.004128078861445373,0.015046328667841693,-0.017374518124049804,0.009582496962797768,0.014301809001588594,0.08023353336802577,-0.00024850934894038446,0.09042094117642707,0.017067353200857772,0.0028318387948796666,-0.008732645255435113,-0.018715413160226128,-0.055620273280792845,-0.060476804199673474,0.04497870473631696,-0.007995427590693382,0.008029247159662009,0.017686515865245927,-0.016033585085624802,-0.06628756735896968,-0.0030445397315175485,0.05458061631310079,0.001762660794106825,-0.005382698023109822,-0.01866363808788925,0.009392807758193195,0.01580844037565927,0.07893477276531224,-0.03456875576409884
sample_000002,0.7728639243600801,0,0.9974288324785765,-0.0185386279898797,-0.009075496534625431,0.2036498874106894,0.20793153271376552,-0.0034013190560359475,-0.016741902955546846,0.0025867996349288893,-0.01034639669317912,0.06108460284653286,0.014689905417921435,0.04345653654767603,-0.000945709794224796,-0.01786357024706205,-0.0009695737837689756,0.0008436089094693111,-0.09386502073533687,0.055472266442321554,0.01848079512713623,-0.0034036265788672227,-0.00046792421260112517,-0.015312067855401264,-0.01283686957473106,0.006945356656573321,-0.09590635788492613,0.024797317630001616,0.008435940147232852,0.012373656759662538,0.01578591761784288,0.010700113128519703,0.08981932221211403,0.0014295098075023161,0.04379426006683567,0.00915991982646959,-0.004801390465606232,0.009128448977000355,0.0017243545601498722,-0.06633687448228294,0.06628342681321064,-0.03975345115841938
sample_000003,0.7365913824631658,1,0.9951829181449882,-0.00805758153758685,-0.017030186633093542,0.19828165174054457,0.2006904133134743,-0.005254528810262826,0.016641007013799444,-0.019902491450984043,-0.01749159632237723,-0.09502770337724947,0.08358669736504168,-0.001542620639597292,0.014172874571026851,0.006389261686979229,-0.015583204601698252,-0.014100297985176948,-0.08505058608947841,-0.0337085563571482,-0.056883997721561434,-0.005327725706921931,-0.01142969495355536,0.006401368181758605,-0.01986464652194642,0.03954368274536222,-0.033571222370967616,0.010942916408757976,0.0047149321557502155,0.004681837006225007,0.017220217491250384,0.006774987354095092,0.06277361021534138,-0.027563709292602347,0.05028491729595073,-0.0004701149363511714,-0.00969711113407266,0.019458191231147174,-0.0022745202223789463,-0.07407506607189751,0.034637733436145894,-0.08321619878722619
sample_000004,0.7197013695416932,-1,0.9974776255995254,-0.007677149021687626,-0.00907186678775792,0.19625908707409884,0.19307015607483505,-0.0030518005134878255,0.003015028345314117,0.017543326289820863,0.0073160703671315865,0.09290865783302618,0.05878840218079715,0.00563499056517145,0.017514463094409006,0.015631355386586436,-0.015365913897008738,-0.00038549815944189715,-0.03527127156447512,0.07454123514160453,-0.019017852685102057,0.009975049341431421,0.014292598016517707,0.0057641476945719415,-0.008057885492350217,-0.060140118992761886,0.027382702103515434,-0.033532955182383306,-0.00937308701054834,-0.013132795762828772,0.007940314944811778,0.006277280683428455,0.08678591979402468,-0.041205977665888405,0.054706191686897124,-0.017548743247431366,-0.0006146644535820035,-0.01098020427215237,0.007232928142155153,-0.09132814748834553,0.08534448607699506,-0.09013186633813286
sample_000005,0.7921148335490324,-1,0.9962680871631626,0.016162935133579123,-0.01790437381347112,0.19622772845798306,0.20432322042134288,-0.013826624706932926,-0.01756299765290786,-0.0033202759041207086,-0.0047913847252510555,-0.08037319197174136,-0.029706765809502645,0.04854131033997549,-0.008455821869755065,-0.015229794808046765,0.009249077999698168,-0.005761459933600315,-0.03158163554833959,0.08816191220368677,-0.05667636144154684,-0.003298251453316716,0.0033080802039773304,-0.00719168801838904,0.01862872077522083,-0.04904826911842344,-0.02764422990894524,0.032332114660586476,0.019662663535874408,-0.006348587985564551,-0.010686050958017517,0.014571648811724253,-0.06330130987528503,-0.00556837626493405,0.04286149693605042,-0.014783369989251614,0.017231178143259807,0.005465333937540797,0.009274025338836393,-0.030911738880467922,-0.03673872568839594,0.05422430372948317
sample_000006,0.7401065076155214,-1,0.9935239643684562,-0.006418864762186223,-0.003050980985333527,0.1990711073956372,0.20537846917028926,-0.01656973925222408,-0.0015129080970219678,0.012510387687469727,0.003215679019394169,0.03214029529617779,0.09862406491240804,-0.03819222006179204,0.01321091969902947,0.004226847202848569,0.006390543668274478,0.012895162287990578,0.07062612473756251,0.03891425223468956,-0.0017649105702009394,-0.018203341898870545,0.0013863464099386302,0.011277264871183398,0.005916146915903173,-0.057090350398776725,0.03422447659335881,-0.048494783305047376,-0.013896269762560491,-0.005658463580922079,0.003597173338390416,0.002436172855920371,0.08739533855110188,-0.03165358638075324,-0.06329290514344435,0.01674942498170646,0.017328115745117424,0.0017454034196030133,-0.01876141760304615,-0.057453940182004275,-0.07175186275812591,0.07677525771565899
sample_000007,0.7395695161537993,0,0.9976414006452503,0.01540849436256861,0.01870469903146879,0.1997499922240172,0.19783134474718345,-0.00634180831756848,0.0010381805635180496,-0.008545327389701117,0.004709722739205092,0.07001742038551066,0.0894638833768998,0.0982504888483087,-0.015336353841355833,0.018299928579846185,-0.019804000403364542,0.018221493746334163,-0.015226058552049483,-0.05169329977789912,0.0869343597396324,-0.0009725186186732016,-0.010213498054809086,0.017751875123950028,0.01593447849458133,-0.008010357414993853,-0.07331053484279045,0.0860978399650137,-0.012917702742663541,0.010582578986942282,-0.010449943505886931,0.016215077555382016,-0.06540048027439807,0.09203856664729698,-0.05075325155981689,0.011027596055523916,-0.018054532679700946,-0.019821983917967214,0.0023936522667770046,-0.05072857594344176,0.0964901834744541,0.06349677274781276
sample_000008,0.7864121176952098,-1,0.993072550057501,-0.007126264837783958,-0.01496602231746619,0.19719861369987335,0.19860728861399973,0.01029593847163031,0.01369545211205447,0.007793481243488132,0.004246939048384766,-0.023728956307175975,0.026230831045939863,0.013259936991594223,0.00665803812899116,0.014383998996973136,-0.007551114701803501,0.013851644801043634,-0.03983742095901528,0.09908942343394722,0.0852231596480163,0.00012476450374205417,-0.005116367986806263,0.01427727776440622,0.00924238237988237,-0.07569597424413765,-0.03382318475114785,-0.031318374278415044,-0.018967565566368205,0.019892630818709164,-0.0189182363242034,-0.011643613404522997,0.0538344757477653,0.014035404365620452,0.0030271180706248346,0.018589738186772148,-0.0009242769291448782,0.0032441576279634977,0.01918065299410042,-0.034129406744185964,0.005523558022010722,0.004548512156307183
sample_000009,0.7673126050038791,1,0.992168527805538,0.012792955755558345,0.009240507405170524,0.208267694164663,0.2016898654448179,-0.00863265549276266,0.0182795657453541,0.012260373000581333,-0.0071495997595306315,-0.03319869690924302,-0.05875479745043195,-0.07369615525288951,0.010735028006237282,-0.013102090987866606,-0.01150971156760637,-0.013010288066986245,0.07428112836481984,-0.06591138719492236,-0.09892246743063589,-0.0008244135529063535,-0.016941218309397668,0.012191913318426941,-0.0072372566431661905,-0.08168089350639983,0.0401010309572323,-0.03049194626778764,0.007401840507234851,-0.004615461007553896,-0.013186906398295607,0.0045306170960084735,0.0074974190351608135,0.014205322612986772,0.07781442036094316,-0.0030638500783135257,-0.009643312211334805,0.00953527788723528,-0.003110451050368397,-0.09429205577605491,-0.03818472126046027,0.0053133875483632135
